date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
05/16/2024,10:15,17.74,.55,7.09,8.24,86.7,1.55,2.28,.23,-6900,9.8
05/16/2024,10:30,17.72,.55,7.11,8.21,86.4,1.43,2.29,.24,-6400,9.4
05/16/2024,10:45,17.71,.55,7.11,8.29,87.1,1.5,2.38,.23,-5900,9.1
05/16/2024,11:00,17.7,.55,7.11,8.18,86,1.36,2.43,.25,-5900,9.1
05/16/2024,11:15,17.69,.55,7.11,8.19,86.1,1.3,2.23,.27,-6400,9.3
05/16/2024,11:30,17.67,.54,7.12,8.2,86.2,1.36,1.91,.19,-7000,9.1
05/16/2024,11:45,17.65,.54,7.12,8.21,86.2,1.36,1.99,.24,-7300,9
05/16/2024,12:00,17.65,.54,7.11,8.22,86.3,1.36,2.24,.26,-7700,9
05/16/2024,12:15,17.63,.54,7.11,8.19,86,1.31,2.11,.2,-7700,8.9
05/16/2024,12:30,17.62,.54,7.11,8.16,85.6,1.38,1.98,.2,-7700,8.7
05/16/2024,12:45,17.61,.54,7.11,8.2,86,1.41,2.15,.22,-7700,8.5
05/16/2024,13:00,17.62,.54,7.12,8.21,86.2,1.28,2.1,.24,-7700,8.4
05/16/2024,13:15,17.61,.54,7.11,8.15,85.5,1.29,2.15,.23,-7700,8.4
05/16/2024,13:30,17.59,.54,7.1,8.13,85.2,1.35,2.01,.25,-7800,8.5
05/16/2024,13:45,17.61,.54,7.12,8.28,86.9,1.28,2.65,.27,-8400,8.6
05/16/2024,14:00,17.61,.54,7.12,8.29,87,1.25,2.77,.32,-9200,8.6
05/16/2024,14:15,17.59,.54,7.1,8.18,85.8,1.44,2.18,.23,-8700,8.6
05/16/2024,14:30,17.59,.54,7.1,8.18,85.8,1.41,2.15,.27,-8700,8.7
05/16/2024,14:45,17.59,.54,7.11,8.18,85.8,1.45,2.37,.24,-8700,8.8
05/16/2024,15:00,17.62,.54,7.11,8.19,86,1.39,2.12,.21,-7400,8.8
05/16/2024,15:15,17.63,.54,7.1,8.18,85.9,1.36,3.27,.21,-7300,9.1
05/16/2024,15:30,17.66,.54,7.13,8.26,86.8,1.38,2.06,.24,-7000,9
05/16/2024,15:45,17.67,.54,7.13,8.32,87.4,1.38,2.11,.24,-7000,8.7
05/16/2024,16:00,17.67,.54,7.14,8.33,87.5,1.47,2.41,.26,-6700,8.7
05/16/2024,16:15,17.67,.54,7.13,8.34,87.7,1.42,2.38,.26,-6700,9
05/16/2024,16:30,17.67,.54,7.13,8.34,87.7,1.52,2.4,.27,-6500,9.3
05/16/2024,16:45,17.67,.54,7.14,8.41,88.3,1.41,2.55,.27,-6700,9.5
05/16/2024,17:00,17.66,.54,7.13,8.35,87.7,1.43,2.14,.27,-6300,9.6
05/16/2024,17:15,17.67,.54,7.14,8.39,88.2,1.5,2.27,.26,-6000,9.4
05/16/2024,17:30,17.67,.54,7.14,8.39,88.2,1.45,2.47,.28,-5600,9.6
05/16/2024,17:45,17.68,.54,7.15,8.42,88.4,1.41,2.49,.28,-5600,9.7
05/16/2024,18:00,17.69,.54,7.15,8.45,88.8,1.46,2.36,.28,-5600,9.7
05/16/2024,18:15,17.67,.54,7.15,8.42,88.5,1.47,2.2,.27,-5200,9.6
05/16/2024,18:30,17.66,.54,7.14,8.43,88.5,1.33,2.15,.23,-5600,9.5
05/16/2024,18:45,17.65,.54,7.14,8.38,88,1.39,1.63,.22,-5600,9.2
05/16/2024,19:00,17.69,.54,7.15,8.45,88.8,1.45,2.64,.29,-5400,9.5
05/16/2024,19:15,17.71,.53,7.14,8.42,88.5,1.4,2.54,.28,-5900,9.8
05/16/2024,19:30,17.7,.53,7.16,8.49,89.3,1.42,2.86,.32,-6300,9.9
05/16/2024,19:45,17.66,.53,7.15,8.41,88.4,1.3,2.02,.3,-6400,9.5
05/16/2024,20:00,17.64,.54,7.15,8.34,87.6,1.49,2.24,.23,-6400,9.2
05/16/2024,20:15,17.61,.54,7.15,8.32,87.3,1.44,2.69,.28,-6400,9.8
05/16/2024,20:30,17.6,.53,7.15,8.31,87.2,1.43,3.14,.27,-6000,10.3
05/16/2024,20:45,17.6,.53,7.15,8.31,87.2,1.45,2.54,.31,-5800,10.4
05/16/2024,21:00,17.6,.53,7.16,8.3,87.1,1.36,2.88,.25,-6000,10.4
05/16/2024,21:15,17.59,.54,7.15,8.26,86.7,1.49,5.31,.31,-5800,11
05/16/2024,21:30,17.59,.54,7.15,8.25,86.5,1.45,2.51,.27,-5500,10.4
05/16/2024,21:45,17.59,.54,7.15,8.23,86.3,1.28,2.52,.25,-5500,10.3
05/16/2024,22:00,17.59,.54,7.14,8.18,85.9,1.47,2.19,.26,-5500,10.3
05/16/2024,22:15,17.57,.54,7.14,8.16,85.6,1.46,2.19,.19,-5400,10
05/16/2024,22:30,17.57,.54,7.14,8.15,85.4,1.44,2.47,.22,-5400,9.9
05/16/2024,22:45,17.54,.54,7.14,8.15,85.4,1.49,1.98,.27,-5200,9.8
05/16/2024,23:00,17.55,.54,7.14,8.11,85.1,1.35,2.18,.24,-5200,9.3
05/16/2024,23:15,17.54,.54,7.12,8,83.8,1.35,1.99,.23,-5500,8.8
05/16/2024,23:30,17.52,.54,7.13,8.04,84.2,1.35,2.26,.23,-6800,8.7
05/16/2024,23:45,17.51,.54,7.13,8.05,84.3,1.39,2.26,.18,-6300,8.7
05/17/2024,00:00,17.5,.54,7.14,8.09,84.7,1.41,2.28,.22,-6700,8.7
05/17/2024,00:15,17.5,.54,7.13,8.02,84,1.47,2.29,.22,-6700,8.8
05/17/2024,00:30,17.5,.55,7.13,7.99,83.6,1.29,1.76,.18,-7400,8.7
05/17/2024,00:45,17.48,.55,7.12,7.93,83.1,1.43,4.57,.23,-7400,8.8
05/17/2024,01:00,17.46,.55,7.12,7.94,83.1,1.52,2.1,.26,-6700,8.8
05/17/2024,01:15,17.44,.55,7.12,7.98,83.4,1.48,1.93,.2,-6100,8.8
05/17/2024,01:30,17.43,.56,7.12,7.94,83,1.54,1.88,.19,-5400,8.4
05/17/2024,01:45,17.41,.56,7.12,7.98,83.4,1.53,1.68,.19,-4700,8
05/17/2024,02:00,17.42,.56,7.13,7.97,83.3,1.43,1.77,.17,-4700,7.5
05/17/2024,02:15,17.4,.56,7.12,7.95,83.1,1.59,1.61,.22,-4100,7.3
05/17/2024,02:30,17.39,.56,7.12,7.95,83,1.59,2.26,.22,-3500,7.7
05/17/2024,02:45,17.38,.56,7.12,7.98,83.3,1.6,1.81,.2,-3200,7.4
05/17/2024,03:00,17.37,.56,7.12,7.97,83.2,1.34,1.86,.2,-3200,7.3
05/17/2024,03:15,17.38,.56,7.12,7.93,82.9,1.45,1.97,.18,-3200,7.3
05/17/2024,03:30,17.34,.56,7.13,7.95,82.9,1.43,1.73,.16,-4400,7.2
05/17/2024,03:45,17.34,.55,7.13,7.96,83.1,1.46,1.84,.21,-5200,7.3
05/17/2024,04:00,17.33,.55,7.13,7.94,82.9,1.27,1.76,.18,-5200,7.3
05/17/2024,04:15,17.34,.55,7.13,7.95,83,1.52,1.84,.2,-5200,7.4
05/17/2024,04:30,17.32,.55,7.14,7.96,83,1.55,1.92,.21,-5200,7.4
